"","species_short","date_time","qr_code","tree_id_fallback","gps_latitude","gps_longitude","gps_height","DBH","TreeID","species_label"
"671","NS","2025/02/12 13:15:28.680","https://dt.unr.uni-freiburg.de/mathisle/142",NA,47.8850813916667,8.08819883333333,1039.221,0.43927,142,"1 spruce (Picea abies )"
"672","NS","2025/02/06 15:21:51.479","https://dt.unr.uni-freiburg.de/mathisle/47",NA,47.8851292066667,8.08873513166667,1031.454,0.51407,47,"1 spruce (Picea abies )"
"673","NS","2025/02/06 14:19:52.700","https://dt.unr.uni-freiburg.de/mathisle/30",NA,47.8851645733333,8.08806680166667,1038.039,0.13051,30,"1 spruce (Picea abies )"
"674","NS","2025/02/07 14:49:11.823","https://dt.unr.uni-freiburg.de/mathisle/88",NA,47.8851217633333,8.08784162333333,1042.545,0.13369,88,"1 spruce (Picea abies )"
"675","NS","2025/02/07 14:51:12.465","https://dt.unr.uni-freiburg.de/mathisle/89",NA,47.8851120133333,8.08783743166667,1042.414,0.06685,89,"1 spruce (Picea abies )"
"676","NS","2025/02/06 14:26:42.826","https://dt.unr.uni-freiburg.de/mathisle/33",NA,47.8851506733333,8.08815103333333,1035.77,0.66845,33,"1 spruce (Picea abies )"
"677","NS","2025/02/13 11:35:10.146","https://dt.unr.uni-freiburg.de/mathisle/211",NA,47.8849835983333,8.08859707666667,1037.597,0.10823,211,"1 spruce (Picea abies )"
"678","NS","2025/02/13 11:47:23.167","https://dt.unr.uni-freiburg.de/mathisle/214",NA,47.8849889816667,8.08846037666667,1038.3,0.08913,214,"1 spruce (Picea abies )"
"679","NS","2025/02/12 14:57:31.065","https://dt.unr.uni-freiburg.de/mathisle/195",NA,47.8850242816667,8.08892225666667,1032.849,0.59524,195,"1 spruce (Picea abies )"
"680","NS","2025/02/06 15:49:30.997","https://dt.unr.uni-freiburg.de/mathisle/59",NA,47.8850745383333,8.08911439833333,1027.6,0.60161,59,"1 spruce (Picea abies )"
"681","NS","2025/02/06 15:51:21.672","https://dt.unr.uni-freiburg.de/mathisle/60",NA,47.885071995,8.08873478666667,1032.134,0.44882,60,"1 spruce (Picea abies )"
"682","NS","2025/02/13 14:12:30.185","https://dt.unr.uni-freiburg.de/mathisle/242",NA,47.8849668833333,8.087948105,1044.651,0.06685,242,"1 spruce (Picea abies )"
